nom_commune,code_insee_commune,code_siren_epci,nom_document,nature_document,id_gpu,date_approbation,niveau_couverture,lien_reglement,date_traitement,statut
Ettendorf,67135,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Eywiller,67136,200067841,Carte Communale (CC) de la commune de EYWILLER,CC,d89a33f82b23aed6451596e727c2e131,09/12/2022 09:09:48,commune,,2026-08-12,document trouvé
Fegersheim,67137,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Fessenheim-le-Bas,67138,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Flexbourg,67139,200068864,,,,,,,2026-08-12,trou de couverture
Forstfeld,67140,200041325,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS RHENAN,PLUi,b5ae1da72ed7f5ecf4aa179df33e1076,13/10/2025 09:14:53,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/b5ae1da72ed7f5ecf4aa179df33e1076/files/200041325_reglement_20250929.pdf,2026-08-12,document trouvé
Forstheim,67141,200013050,Plan Local d'Urbanisme (PLU) de la commune de FORSTHEIM,PLU,f34ac9ef79e7251a3a8526b438fe60c1,04/12/2023 10:33:37,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/f34ac9ef79e7251a3a8526b438fe60c1/files/67141_reglement_20231116.pdf,2026-08-12,document trouvé
Fort-Louis,67142,200041325,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS RHENAN,PLUi,b5ae1da72ed7f5ecf4aa179df33e1076,13/10/2025 09:14:53,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/b5ae1da72ed7f5ecf4aa179df33e1076/files/200041325_reglement_20250929.pdf,2026-08-12,document trouvé
Fouchy,67143,246700777,Plan Local d'Urbanisme intercommunal (PLUi) DE LA VALLEE DE VILLE,PLUi,12666ec8d6fb548ead67bc9c63776f94,28/07/2025 11:05:15,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/12666ec8d6fb548ead67bc9c63776f94/files/246700777_reglement_20250704.pdf,2026-08-12,document trouvé
Fouday,67144,246700306,,,,,,,2026-08-12,RNU confirmé
Friedolsheim,67145,200068112,,,,,,,2026-08-12,trou de couverture
Friesenheim,67146,200067924,Plan Local d'Urbanisme (PLU) de la commune de FRIESENHEIM,PLU,9659c684b42ce239c179221fe217486e,30/01/2026 09:10:40,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/9659c684b42ce239c179221fe217486e/files/67146_reglement_20220118.pdf,2026-08-12,document trouvé
Frœschwiller,67147,200013050,,,,,,,2026-08-12,trou de couverture
Frohmuhl,67148,200067783,,,,,,,2026-08-12,trou de couverture
Furchhausen,67149,200068112,,,,,,,2026-08-12,RNU confirmé
Furdenheim,67150,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Gambsheim,67151,200041325,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS RHENAN,PLUi,b5ae1da72ed7f5ecf4aa179df33e1076,13/10/2025 09:14:53,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/b5ae1da72ed7f5ecf4aa179df33e1076/files/200041325_reglement_20250929.pdf,2026-08-12,document trouvé
Geispolsheim,67152,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Geiswiller-Zœbersdorf,67153,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Gerstheim,67154,200067924,Plan Local d'Urbanisme (PLU) de la commune de GERSTHEIM,PLU,dd7f71c81d64c5a110fd0eeaf2680f78,16/08/2023 14:29:00,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/dd7f71c81d64c5a110fd0eeaf2680f78/files/67154_reglement_20170911.pdf,2026-08-12,document trouvé
Gertwiller,67155,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Geudertheim,67156,246700843,Plan Local d'Urbanisme (PLU) de la commune de GEUDERTHEIM,PLU,b2ff4834e7566ea92ff6ba64783a38b9,27/06/2024 12:18:39,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/b2ff4834e7566ea92ff6ba64783a38b9/files/67156_reglement_20240322.pdf,2026-08-12,document trouvé
Gœrlingen,67159,200067841,Carte Communale (CC) de la commune de GOERLINGEN,CC,6b126e438fda64c4b2f9bc21565333a5,10/02/2022 09:12:38,commune,,2026-08-12,document trouvé
Gœrsdorf,67160,200013050,,,,,,,2026-08-12,trou de couverture
